n,xa,phat_a,variance_a,sigma_a,cdf_probability,relative_gain
395,31,0.0784810126582278,0.000183093021038904,0.0135311869781961,0.0865226514196528,0.00242382450098999
396,31,0.0782828282828283,0.000182208654239569,0.0134984685886796,0.0840176273379289,0.00241799847783006
397,31,0.0780856423173804,0.000181330666955321,0.0134659075800824,0.0815716257414105,0.002412200197619
398,31,0.0778894472361809,0.000180458998104078,0.0134335028233175,0.0791837668057943,0.00240642946435261
399,31,0.0776942355889724,0.000179593587331373,0.0134012532000322,0.0768531644331733,0.00240068608384899
400,31,0.0775,0.000178734375,0.0133691576024819,0.074578927172337,0.00239496986372762
401,31,0.0773067331670823,0.00017788130217984,0.0133372149334049,0.072360159112963,0.00238928061339002
402,32,0.0796019900497512,0.000182252520472315,0.0135000933505037,0.0973837026325807,-0.0122123260299885
403,32,0.0794044665012407,0.000181388082384352,0.0134680392925011,0.0946649284448053,0.00237435824852752
404,32,0.0792079207920792,0.000180529767514542,0.0134361366290516,0.0920069785851918,0.00236876821908535
405,32,0.0790123456790123,0.000179677518294599,0.0134043842937525,0.0894090469481608,0.00236320425846406
406,32,0.0788177339901478,0.000178831277829572,0.0133727812301545,0.0868703175066866,0.00235766618633672
407,32,0.0786240786240786,0.000177990989888436,0.0133413263916462,0.08438996526623,0.00235215382401754
408,32,0.0784313725490196,0.000177156598894844,0.0133100187413408,0.0819671571977776,0.00234666699444331
409,32,0.078239608801956,0.000176328049918027,0.0132788572519636,0.0796010531479717,0.00234120552215607
410,32,0.0780487804878049,0.000175505288663833,0.0132478409057413,0.0772908067268691,0.00233576923328408
411,32,0.0778588807785888,0.000174688261465923,0.0132169686942931,0.0750355661729756,0.00233035795552625
412,32,0.0776699029126214,0.0001738769152771,0.0131862396185228,0.0728344751943579,0.00232497151813123
413,33,0.0799031476997579,0.000178011222003459,0.0133420846198583,0.0975667338265884,-0.01181875999861
414,33,0.0797101449275362,0.000177189463099438,0.0133112532505185,0.0948787278226001,0.00231083599139664
415,33,0.0795180722891566,0.000176373369803791,0.0132805636101707,0.0922499849431622,0.00230554101632368
416,33,0.0793269230769231,0.000175562890269401,0.013250014727139,0.0896797350335201,0.00230027007349887
417,33,0.079136690647482,0.000174757973239441,0.0132196056385749,0.087167198307248,0.00229502300113513
418,33,0.0789473684210526,0.000173958568039338,0.0131893353903575,0.084711586241089,0.00228979963887948
419,33,0.0787589498806683,0.000173164624568885,0.013159203036996,0.0823121024508011,0.00228459982779517
420,33,0.0785714285714286,0.000172376093294461,0.0131292076415319,0.0799679435458295,0.00227942341034831
421,33,0.0783847980997625,0.000171592925241382,0.0130993482754442,0.0776782999642239,0.00227427023039135
422,33,0.0781990521327014,0.000170815071986371,0.0130696240185543,0.0754423567862059,0.00226914013314864
423,33,0.0780141843971631,0.000170042485650138,0.0130400339589335,0.0732592945265193,0.00226403296520119
424,34,0.080188679245283,0.000173958620203255,0.013189337367861,0.0977031710634882,-0.01144961810665
425,34,0.08,0.000173176470588235,0.0131596531332796,0.0950456829477177,0.00225062364799023
426,34,0.07981220657277,0.000172399573367971,0.0131301018034123,0.0924459663126605,0.00224560097200221
427,34,0.0796252927400468,0.000171627881723908,0.0131006824907677,0.0899032842772532,0.00224060049838444
428,34,0.0794392523364486,0.000170861349356716,0.0130713943157077,0.0874168906227668,0.00223562208156911
429,34,0.0792540792540792,0.000170099930479411,0.0130422364063611,0.084986030633741,0.00223066557724352
